frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,4.9107904,0.6263439,-3.1387079,DG,26
1.0,4.335907,2.5465772,-3.1030312,DG,26
2.0,4.921294,2.293263,-2.31618,DG,26
3.0,3.0604448,0.23587301,-1.2934014,DG,26
4.0,4.8671913,1.3599508,-0.8063158,DG,26
5.0,4.0645847,2.1566875,-3.1861165,DG,26
6.0,3.6551461,1.6328274,-3.1850543,DG,26
7.0,4.8485684,2.741802,-2.1904216,DG,26
8.0,3.5225897,2.3312964,-1.2119359,DG,26
9.0,4.7864327,2.126896,-1.5979706,DG,26
10.0,3.2540195,2.0016475,-1.5844721,DG,26
11.0,5.4373293,2.5449958,-2.3996587,DG,26
12.0,5.9896536,1.7641314,-2.1739678,DG,26
13.0,4.191147,0.86095643,-2.8521483,DG,26
14.0,5.226731,2.6920528,-1.902947,DG,26
15.0,5.7050853,0.6248678,-0.4321204,DG,26
16.0,3.3590589,2.260094,-1.4199013,DG,26
17.0,3.363688,2.143932,-1.6886806,DG,26
18.0,6.2077236,0.9077821,-2.9059749,DG,26
19.0,6.336563,1.1253487,-1.0783987,DG,26
20.0,6.4677625,0.06335856,-1.3078458,DG,26
21.0,5.7999287,2.330443,-1.5584649,DG,26
22.0,5.097403,2.4340024,-1.3473973,DG,26
23.0,4.5811815,1.578402,-1.0358573,DG,26
24.0,4.05409,0.28143305,-2.7235987,DG,26
25.0,4.2706003,2.580615,-2.4899445,DG,26
26.0,4.9610205,0.19130668,-0.78890383,DG,26
27.0,4.6243176,0.25514033,-0.48864055,DG,26
28.0,3.6584175,-0.17230499,-2.6159034,DG,26
29.0,4.45885,2.3116693,-2.4785626,DG,26
30.0,3.5658004,2.0709624,-2.4048045,DG,26
31.0,3.3091183,2.2837842,-1.5779773,DG,26
32.0,4.3479176,-0.7897149,-2.6838784,DG,26
33.0,5.90761,-0.035633937,-2.5640044,DG,26
34.0,4.789297,1.8551452,-3.5547948,DG,26
35.0,3.9354887,2.5556355,-2.5340233,DG,26
36.0,4.1056533,2.4508228,-2.2791073,DG,26
37.0,3.3882115,2.3489597,-1.5008131,DG,26
38.0,4.8412986,0.7265553,-3.3543756,DG,26
39.0,3.8752072,1.7085242,-3.085334,DG,26
40.0,4.275454,1.9444265,-3.3288755,DG,26
41.0,5.729221,-0.008911126,-0.85366917,DG,26
42.0,5.993055,0.5473756,-3.1610186,DG,26
43.0,5.0344057,2.1577458,-3.21081,DG,26
44.0,4.829879,2.19857,-3.1172168,DG,26
45.0,4.7089105,1.0216223,-1.1652069,DG,26
46.0,6.389295,1.1294236,-1.6071517,DG,26
47.0,5.0155563,-0.117961176,-0.9590339,DG,26
48.0,6.1023655,0.111148715,-1.6837846,DG,26
49.0,2.886274,0.6271349,-2.1247354,DG,26
50.0,2.9569983,2.0000198,-2.3421147,DG,26
51.0,4.6256056,0.27810755,-1.8723401,DG,26
52.0,5.967927,-0.47425812,-0.8507245,DG,26
53.0,4.628103,0.19593284,-3.4143407,DG,26
54.0,4.760172,1.7372967,-1.7819407,DG,26
55.0,5.283328,2.6790752,-2.448665,DG,26
56.0,4.7367706,-0.84776807,-0.8344998,DG,26
57.0,4.1093097,0.48859313,-0.24674408,DG,26
58.0,4.9664702,0.4089132,-3.2633684,DG,26
59.0,3.7719398,0.9372044,-2.9533842,DG,26
60.0,3.6784039,1.7681019,-2.3292313,DG,26
61.0,3.3975544,2.2517052,-1.8704715,DG,26
62.0,4.4727087,1.1111653,-2.2357712,DG,26
63.0,4.977383,0.93067527,-0.5748668,DG,26
64.0,5.1605606,2.360445,-1.8647484,DG,26
65.0,5.312787,0.48335728,-1.5428914,DG,26
66.0,4.0400558,2.175517,-1.8180001,DG,26
67.0,4.88183,2.711593,-2.3359647,DG,26
68.0,6.4825115,0.13282146,-0.9477014,DG,26
69.0,4.8883905,1.3002791,-2.0295973,DG,26
70.0,3.7893822,2.3152258,-1.3005494,DG,26
71.0,5.030292,1.6932992,-2.199709,DG,26
72.0,6.1424265,1.446763,-0.6922921,DG,26
73.0,3.737373,2.234637,-1.4375764,DG,26
74.0,3.6834986,2.4289112,-2.4562836,DG,26
75.0,3.575436,2.4208453,-1.5954785,DG,26
76.0,4.8056617,0.72049874,-0.36963594,DG,26
77.0,5.5323505,1.2680136,-0.7333727,DG,26
78.0,4.4108353,2.1141517,-2.5973768,DG,26
79.0,5.4675136,2.377925,-0.8659738,DG,26
80.0,5.4436674,0.9106632,-0.6137768,DG,26
81.0,4.1671185,0.6083106,-0.17995287,DG,26
82.0,3.8846767,2.545191,-2.385509,DG,26
83.0,3.4842865,2.1578634,-1.2077582,DG,26
84.0,3.3233445,2.4027426,-1.2485762,DG,26
85.0,4.2636566,1.1910659,-0.42006868,DG,26
86.0,4.3998437,2.4646914,-2.2983851,DG,26
87.0,5.5898166,1.8759503,-2.4174538,DG,26
88.0,4.5706387,0.90855676,-0.19600612,DG,26
89.0,5.232978,1.9361995,-1.782627,DG,26
90.0,5.543581,1.7260212,-1.218088,DG,26
91.0,4.074439,2.625338,-2.8311415,DG,26
92.0,3.5656269,1.7306328,-0.8634165,DG,26
93.0,3.5399988,1.9805393,-1.0398796,DG,26
94.0,3.622119,1.8691825,-0.87211806,DG,26
95.0,3.5945864,1.5508902,-0.82354903,DG,26
96.0,5.151825,0.61225474,-0.21473631,DG,26
97.0,4.435618,0.65974486,-0.3812729,DG,26
98.0,5.745321,-0.2303147,-0.52077687,DG,26
99.0,4.6803155,1.6549065,-3.5384727,DG,26
100.0,5.0425944,2.7573438,-2.5719376,DG,26
101.0,6.3708453,0.063264966,-0.8902249,DG,26
102.0,5.044555,0.27663836,-0.32585645,DG,26
103.0,5.861877,2.238604,-1.637282,DG,26
104.0,2.849005,0.7008106,-2.0339527,DG,26
105.0,3.115433,0.6556152,-1.2275516,DG,26
106.0,5.9393835,-0.35793087,-1.0501562,DG,26
107.0,6.4105372,0.11564265,-0.98515946,DG,26
108.0,3.4836009,2.1135802,-1.2300038,DG,26
109.0,3.5643404,1.7607727,-1.434194,DG,26
110.0,3.3246777,-0.062414404,-1.4417274,DG,26
111.0,6.3173146,0.20676062,-2.6595235,DG,26
112.0,6.2877197,1.4916332,-2.3068762,DG,26
113.0,4.015548,0.46125782,-1.5736884,DG,26
114.0,4.170207,1.1993501,-2.045597,DG,26
115.0,3.7706304,1.7464027,-0.8431816,DG,26
116.0,5.2382326,0.2550462,-1.1885997,DG,26
117.0,4.411193,1.1217793,-0.25811788,DG,26
118.0,5.001757,1.4388715,-0.98598826,DG,26
119.0,5.5105987,2.434624,-1.0328424,DG,26
120.0,5.0501647,0.21900897,-0.4487883,DG,26
121.0,4.6924677,0.71354914,-0.29241407,DG,26
122.0,4.2087474,0.18779992,-3.6331618,DG,26
123.0,4.0574284,2.6209202,-2.5186908,DG,26
124.0,4.153313,1.2797673,-0.38319245,DG,26
125.0,5.890592,0.4432547,-0.5678972,DG,26
126.0,3.7603154,1.2221183,-1.5841403,DG,26
127.0,5.3083344,-0.005999581,-0.797772,DG,26
128.0,4.4587903,1.4593668,-3.6691055,DG,26
129.0,3.198209,0.8975949,-1.1695937,DG,26
130.0,4.7889824,0.4600681,-0.68719184,DG,26
131.0,5.5382347,2.3229063,-1.1002438,DG,26
132.0,5.059041,2.5917017,-1.8937618,DG,26
133.0,4.2644243,2.354658,-1.6817224,DG,26
134.0,5.934888,0.23824863,-1.000588,DG,26
135.0,6.0736938,1.0086632,-2.6285179,DG,26
136.0,4.737072,1.860281,-3.1123238,DG,26
137.0,6.2335424,0.45275858,-2.8400226,DG,26
138.0,5.7869444,-0.012926875,-1.6784905,DG,26
139.0,5.5714035,0.6445862,-1.1398848,DG,26
140.0,5.7559624,0.0072186585,-2.7600794,DG,26
141.0,4.081146,1.4153478,-3.1393857,DG,26
142.0,5.934195,1.5959895,-2.4839115,DG,26
143.0,6.228619,0.50526696,-0.6609722,DG,26
144.0,6.070678,1.5465658,-0.92519224,DG,26
145.0,5.1908307,1.4959476,-2.0011134,DG,26
146.0,4.829753,0.8314892,-2.4662597,DG,26
147.0,4.7064257,1.0338322,-0.7324923,DG,26
148.0,5.798283,0.76592654,-0.71173,DG,26
149.0,3.3548048,1.6601337,-2.0623405,DG,26
150.0,3.4311717,1.9776615,-2.324643,DG,26
151.0,5.248712,0.20912227,-0.5797432,DG,26
152.0,5.545331,-0.4009547,-0.72637886,DG,26
153.0,4.304797,2.425626,-2.9534557,DG,26
154.0,5.7559166,0.54746073,-2.6501856,DG,26
155.0,5.9295154,0.106212914,-1.11479,DG,26
156.0,4.0761456,1.2530193,-0.8872198,DG,26
157.0,4.75811,0.87445587,-1.4774464,DG,26
158.0,5.590037,2.1579244,-2.6233687,DG,26
159.0,4.587957,0.5205595,-0.4563171,DG,26
160.0,4.2381043,1.7003155,-3.5176835,DG,26
161.0,6.056762,1.5125339,-0.71052223,DG,26
162.0,4.8927364,1.002085,-3.264322,DG,26
163.0,3.7024395,0.4093087,-3.8040516,DG,26
164.0,6.4648633,0.7847493,-2.6644633,DG,26
165.0,3.8736615,-0.13777694,-3.6142318,DG,26
166.0,6.3155546,-0.28434083,-1.6155063,DG,26
167.0,3.54949,0.5075856,-3.9092,DG,26
168.0,4.779934,2.495726,-1.8636671,DG,26
169.0,5.04116,2.239649,-1.3403863,DG,26
170.0,6.423379,0.102113724,-1.0932621,DG,26
171.0,6.078582,0.3962102,-2.603696,DG,26
172.0,6.126676,1.1071721,-1.367429,DG,26
173.0,4.0684266,1.2525041,-2.173658,DG,26
174.0,3.1797254,1.901384,-1.5478153,DG,26
175.0,3.0924563,0.91819215,-1.5268604,DG,26
176.0,3.8691087,0.77130455,-0.7322096,DG,26
177.0,3.8786242,1.2494316,-0.6033657,DG,26
178.0,3.3804522,1.6285319,-1.2918093,DG,26
179.0,3.2936742,1.9231981,-1.0850646,DG,26
180.0,5.4624047,1.3587375,-2.5269172,DG,26
181.0,3.7314694,0.10184774,-3.824548,DG,26
182.0,4.4094186,0.047738194,-2.6204863,DG,26
183.0,5.103379,1.4627831,-2.6458893,DG,26
184.0,6.004455,1.2449381,-0.82403773,DG,26
185.0,5.073165,1.6421833,-0.9342373,DG,26
186.0,4.769171,0.78873223,-3.0714216,DG,26
187.0,5.476458,2.3246875,-0.83033115,DG,26
188.0,4.7368894,1.478684,-0.6762097,DG,26
189.0,4.86518,1.7238349,-0.97955424,DG,26
190.0,4.844263,1.0701572,-0.5057385,DG,26
191.0,5.3123074,1.5861131,-1.6195799,DG,26
192.0,4.9508705,1.9996154,-3.0383453,DG,26
193.0,3.7059908,0.7388492,-1.5041465,DG,26
194.0,4.281171,0.9181741,-0.28886625,DG,26
195.0,5.2118793,0.45700088,-1.1623784,DG,26
196.0,5.970732,1.6874985,-2.3128579,DG,26
197.0,3.0166295,2.1263323,-2.1915371,DG,26
198.0,4.1589074,0.5353994,-0.764016,DG,26
199.0,4.294027,1.7581443,-3.4802058,DG,26
200.0,4.5591693,0.34108737,-0.6510071,DG,26
201.0,6.599124,0.50926,-2.233264,DG,26
202.0,5.6480966,2.5442963,-1.9991939,DG,26
203.0,5.7265577,2.5624578,-2.256985,DG,26
204.0,5.5078998,1.9327964,-3.184824,DG,26
205.0,6.098043,0.9816262,-2.0389814,DG,26
206.0,4.3264112,1.3933929,-0.80968183,DG,26
207.0,6.1091495,2.026055,-2.399946,DG,26
208.0,4.967188,1.8846186,-2.6486268,DG,26
209.0,4.869789,2.3432407,-2.5512772,DG,26
210.0,4.0895934,1.23141,-2.224611,DG,26
211.0,4.503074,1.663094,-1.7191902,DG,26
212.0,4.70305,2.4177814,-1.552804,DG,26
213.0,5.8764524,1.6267483,-2.7980962,DG,26
214.0,5.972317,2.1478772,-2.4809344,DG,26
215.0,3.9399843,2.126615,-2.6613982,DG,26
216.0,5.33093,2.6479368,-2.2990804,DG,26
217.0,5.66197,2.4780502,-2.389131,DG,26
218.0,4.8069563,2.38288,-3.0068374,DG,26
219.0,6.5451922,0.9502245,-2.5902722,DG,26
220.0,4.4563675,2.6581807,-2.5187016,DG,26
221.0,5.685094,1.355395,-1.5446599,DG,26
222.0,6.327157,-0.07306881,-1.2088962,DG,26
223.0,5.3418345,1.2663488,-1.6489822,DG,26
224.0,5.7378488,0.5736191,-3.0115027,DG,26
225.0,5.5277133,0.9309489,-3.4988532,DG,26
226.0,6.5943513,0.24686533,-1.8393782,DG,26
227.0,5.6132426,1.9991484,-2.965334,DG,26
228.0,5.9768763,1.2192415,-2.171513,DG,26
229.0,3.1976447,0.27243677,-1.0477185,DG,26
230.0,6.577631,0.54550064,-2.1952367,DG,26
231.0,6.0268345,-0.46631575,-0.808794,DG,26
232.0,5.560832,-0.28216147,-0.48930058,DG,26
233.0,5.653946,-0.54601127,-0.7860401,DG,26
234.0,3.4803202,0.5918088,-0.9888454,DG,26
235.0,4.581753,2.6442368,-2.8316646,DG,26
236.0,5.211078,1.9706923,-3.0762312,DG,26
237.0,6.2756605,0.15962455,-0.94367045,DG,26
238.0,6.4859614,0.08842819,-1.3082423,DG,26
239.0,4.2278795,1.3554597,-2.227334,DG,26
240.0,3.7333367,2.2562456,-2.1817167,DG,26
241.0,5.139602,2.5100794,-2.573882,DG,26
